                       OLS Regression Results                      
Dep. Variable:   ,ExactValue      ,  R-squared:         ,   0.994  
Model:           ,OLS             ,  Adj. R-squared:    ,   0.994  
Method:          ,Least Squares   ,  F-statistic:       ,3.071e+05 
Date:            ,Tue, 12 Jul 2022,  Prob (F-statistic):,  0.00    
Time:            ,22:38:39        ,  Log-Likelihood:    ,1.7884e+05
No. Observations:, 24000          ,  AIC:               ,-3.576e+05
Df Residuals:    , 23985          ,  BIC:               ,-3.575e+05
Df Model:        ,    14          ,                     ,          
Covariance Type: ,nonrobust       ,                     ,          
               ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
TimesSampled   ,  6.88e-13, 1.49e-15,  462.635, 0.000, 6.85e-13, 6.91e-13
maxDegree      ,-1.873e-19, 1.78e-20,  -10.552, 0.000,-2.22e-19,-1.53e-19
NumberNodes    ,-1.512e-18, 1.63e-18,   -0.928, 0.354,-4.71e-18, 1.68e-18
NumberEdges    ,-4.879e-18, 2.59e-18,   -1.883, 0.060,-9.96e-18, 2.01e-19
Degree         , 2.648e-14, 6.39e-15,    4.146, 0.000,  1.4e-14,  3.9e-14
ClusteringCoeff, 1.602e-14, 7.43e-14,    0.216, 0.829, -1.3e-13, 1.62e-13
SampledPaths   ,  9.07e-18, 4.67e-18,    1.942, 0.052,-8.27e-20, 1.82e-17
x5             , 1.602e-14, 7.43e-14,    0.216, 0.829, -1.3e-13, 1.62e-13
x6             , 8.909e-18, 4.68e-18,    1.905, 0.057,-2.55e-19, 1.81e-17
x0 x1          ,-7.051e-11, 1.59e-13, -442.610, 0.000,-7.08e-11,-7.02e-11
x0 x2          , 7.579e-09, 1.67e-11,  453.529, 0.000, 7.55e-09, 7.61e-09
x0 x3          ,-4.492e-10, 1.43e-12, -314.783, 0.000,-4.52e-10,-4.46e-10
x0 x4          , 3.823e-09, 3.98e-10,    9.600, 0.000, 3.04e-09,  4.6e-09
x0 x5          ,-1.255e-06, 1.09e-07,  -11.541, 0.000,-1.47e-06,-1.04e-06
x0 x6          , 5.582e-11, 1.68e-12,   33.271, 0.000, 5.25e-11, 5.91e-11
x1 x2          ,-9.539e-17, 5.74e-17,   -1.661, 0.097,-2.08e-16, 1.72e-17
x1 x3          ,-4.844e-16, 1.33e-15,   -0.365, 0.715,-3.09e-15, 2.12e-15
x1 x4          ,-2.681e-12,  6.9e-13,   -3.887, 0.000,-4.03e-12,-1.33e-12
x1 x5          ,-3.455e-12, 8.16e-12,   -0.424, 0.672,-1.94e-11, 1.25e-11
x1 x6          , 7.519e-16, 3.63e-16,    2.073, 0.038,  4.1e-17, 1.46e-15
x2 x3          ,-6.281e-14, 2.86e-14,   -2.199, 0.028,-1.19e-13,-6.81e-15
x2 x4          , 2.848e-10, 7.23e-11,    3.938, 0.000, 1.43e-10, 4.27e-10
x2 x5          , 2.892e-10, 8.51e-10,    0.340, 0.734,-1.38e-09, 1.96e-09
x2 x6          , 6.808e-15, 2.27e-14,    0.300, 0.764,-3.76e-14, 5.13e-14
x3 x4          ,-3.326e-11,  5.2e-12,   -6.395, 0.000,-4.34e-11,-2.31e-11
x3 x5          ,-3.358e-12, 7.21e-11,   -0.047, 0.963,-1.45e-10, 1.38e-10
x3 x6          , 2.842e-14, 1.18e-14,    2.407, 0.016, 5.28e-15, 5.16e-14
x4 x5          ,-2.017e-07,  1.4e-07,   -1.441, 0.150,-4.76e-07, 7.27e-08
x4 x6          , 3.107e-11, 1.32e-11,    2.347, 0.019, 5.13e-12,  5.7e-11
x5 x6          ,-5.294e-10, 2.19e-10,   -2.422, 0.015,-9.58e-10,-1.01e-10
Omnibus:      ,6366.561,  Durbin-Watson:     ,   1.983  
Prob(Omnibus):, 0.000  ,  Jarque-Bera (JB):  ,459138.532
Skew:         , 0.308  ,  Prob(JB):          ,    0.00  
Kurtosis:     ,24.419  ,  Cond. No.          ,7.11e+21  

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The smallest eigenvalue is 2.98e-21. This might indicate that there are
strong multicollinearity problems or that the design matrix is singular.
